State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
ND,754,510,510,67.64%,580,141,33,63,252,472,30,36,55,580,403,403,69.48%,31,64,35,155,395,30,0,30,141,74,74,52.48%,28,97,44,0,3,25,33,33,33,100.00%,0,0,33,0,33,0,123,123,123,100.00%,19,55,68,0,87,0,516,493,261,50.58%,52,138,378,0,135,0,372,103,103,0,0.00%,18,57,46,0,0,0
NE,2558,2279,2244,87.72%,1562,962,34,284,980,1552,26,82,91,1562,1351,1316,84.25%,0,297,121,475,1063,24,10,28,962,894,894,92.93%,163,505,455,2,38,63,34,34,34,1,0,0,34,0,34,0,856,778,778,90.89%,194,638,218,0,112,48,1285,1285,933,72.61%,141,364,921,0,561,53,949,256,256,109,42.58%,27,72,184,0,26,0
NH,1325,1143,1069,80.68%,837,479,9,264,740,573,12,105,57,837,679,626,74.79%,92,82,139,410,415,12,0,12,479,455,434,90.61%,125,330,149,0,104,45,9,9,9,100.00%,0,0,9,0,1,0,213,213,213,100.00%,52,171,42,0,26,0,1131,1131,750,66.31%,163,531,600,0,394,0,274,82,82,67,81.71%,18,49,33,0,0,0
NJ,7151,6374,5979,83.61%,4677,2427,47,1731,3890,3207,54,397,327,4677,4201,3882,83.00%,308,1804,1242,2590,2038,49,39,152,2427,2153,2077,85.58%,489,1300,1122,5,358,175,47,20,20,42.55%,0,0,47,0,0,0,3030,3030,3014,99.47%,1208,2050,980,0,219,56,6838,6802,5451,79.72%,1442,3043,3791,4,1326,237,3783,481,481,436,90.64%,60,171,310,0,33,0
NM,2465,1863,1175,47.67%,1950,515,0,237,888,1456,121,57,171,1950,1401,839,43.03%,124,76,145,611,1244,95,15,95,515,462,336,65.24%,92,277,212,26,42,76,0,0,0,.,0,0,0,0,0,0,809,567,567,70.09%,185,631,178,0,147,20,2209,2209,1366,61.84%,344,888,1321,0,595,0,1363,96,96,96,100.00%,27,96,0,0,0,0
NV,3063,2758,2614,85.34%,1938,1100,25,236,626,2398,39,469,204,1938,1701,1677,86.53%,393,397,155,499,1406,33,81,68,1100,1032,912,82.91%,81,127,967,6,388,136,25,25,25,100.00%,0,0,25,0,0,0,622,601,601,96.62%,93,318,304,0,171,53,3232,3232,1655,51.21%,263,859,2373,0,2095,0,1640,31,31,31,100.00%,0,0,31,0,25,6
NY,89238,85088,75981,85.14%,83571,5562,105,16660,51359,37671,208,738,1500,83571,79663,72681,86.97%,836,2785,16179,50059,33364,148,254,765,5562,5320,3195,57.44%,481,1300,4202,60,407,735,105,105,105,100.00%,0,0,105,0,77,0,5012,4708,4682,93.42%,1073,3531,1469,12,364,215,44905,44312,25805,57.47%,3734,10569,34336,0,7417,669,25200,3209,3209,3136,97.73%,703,2574,635,0,26,0
OH,9231,7671,6582,71.30%,7431,1696,104,1212,3716,5436,79,586,385,7431,6189,5177,69.67%,526,661,921,2966,4392,73,109,206,1696,1378,1301,76.71%,291,750,940,6,425,179,104,104,104,100.00%,0,0,104,0,52,0,4957,4777,4777,96.37%,1048,3694,1263,0,469,131,17978,17839,15936,88.64%,2252,7094,10884,0,2919,213,9970,196,196,34,17.35%,32,64,132,0,20,0
OK,3221,2520,1849,57.40%,2600,613,8,327,1140,2032,49,121,178,2600,1949,1437,55.27%,114,229,233,883,1668,49,49,97,613,563,404,65.91%,94,257,356,0,72,81,8,8,8,100.00%,0,0,8,0,0,0,755,746,746,98.81%,151,474,281,0,215,18,1916,1900,1165,60.80%,146,409,1507,0,794,39,735,0,0,0,.,0,0,0,0,0,0
OR,7147,6507,4064,56.86%,4406,2731,10,771,2311,4705,131,550,441,4406,3933,2369,53.77%,594,174,430,1335,2979,92,168,212,2731,2564,1685,61.70%,341,976,1716,39,382,229,10,10,10,100.00%,0,0,10,0,0,0,4205,3897,3795,90.25%,951,2930,1274,1,515,119,7714,7628,6204,80.43%,1039,2991,4723,0,2165,81,2908,352,352,323,91.76%,27,84,268,0,0,0
PA,12687,11012,9196,72.48%,8457,3923,307,1868,5972,6635,80,702,528,8457,7196,5791,68.48%,1234,375,1145,3908,4496,53,112,244,3923,3509,3117,79.45%,723,2064,1832,27,535,260,307,307,288,93.81%,0,0,307,0,55,24,5423,5106,4981,91.85%,1249,3999,1424,0,415,347,12700,12614,9895,77.91%,1857,5874,6826,0,2770,94,5331,308,304,273,88.64%,18,49,259,0,33,0
PR,855,666,666,77.89%,430,403,22,52,176,661,18,31,31,430,360,360,83.72%,0,4,18,59,353,18,7,18,403,284,284,70.47%,34,117,286,0,24,13,22,22,22,100.00%,0,0,22,0,0,0,289,239,239,82.70%,42,133,156,0,3,6,1899,1771,1717,90.42%,154,459,1440,0,229,4,1194,255,255,255,100.00%,0,0,255,0,0,0
RI,952,778,676,71.01%,662,290,0,133,345,607,0,68,0,662,574,478,72.21%,87,56,74,191,471,0,0,0,290,204,198,68.28%,59,154,136,0,68,0,0,0,0,.,0,0,0,0,0,0,259,259,259,100.00%,50,181,78,0,50,6,1518,1427,1135,74.77%,212,655,863,0,353,5,925,467,467,467,100.00%,47,130,337,0,0,0
SC,3071,2637,1842,59.98%,2209,845,17,211,1180,1855,36,236,132,2209,1843,1268,57.40%,475,8,119,887,1314,8,14,32,845,777,557,65.92%,92,293,524,28,217,100,17,17,17,100.00%,0,0,17,0,5,0,468,468,468,100.00%,74,253,215,0,175,15,2071,2007,1702,82.18%,176,563,1508,0,1226,21,1038,284,284,284,100.00%,33,103,153,28,12,37
