Year,State,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans
2018,RI,1101.0,1050,51,747,698,49,354,352,2,121,120,1,264,247,17,233,216,17,31,31,0,103,100,3
2018,SC,3933.0,2589,1344,3082,1968,1114,851,621,230,273,200,73,686,352,334,671,344,327,15,8,7,415,320,95
2018,SD,1159.0,874,285,836,598,238,323,276,47,105,91,14,190,134,56,115,67,48,75,67,8,110,89,21
2018,TN,7883.0,5028,2855,6139,3853,2286,1744,1175,569,526,366,160,1663,609,1054,1556,559,997,107,50,57,742,556,186
2018,TX,25310.0,14776,10534,19199,8917,10282,6111,5859,252,1917,1845,72,3404,1514,1890,3269,1379,1890,135,135,0,1935,1142,793
2018,UT,2876.0,2456,420,1904,1486,418,972,970,2,287,286,1,306,219,87,298,211,87,8,8,0,239,222,17
2018,VA,5975.0,5060,915,3928,3066,862,2047,1994,53,660,643,17,897,622,275,812,537,275,85,85,0,485,400,85
2018,VI,486.0,179,307,415,108,307,71,71,0,26,26,0,307,0,307,307,0,307,0,0,0,24,7,17
2018,VT,1291.0,1209,82,780,711,69,511,498,13,169,165,4,160,138,22,138,120,18,22,18,4,104,96,8
2018,WA,22304.0,11683,10621,16424,6519,9905,5880,5164,716,1800,1583,217,6158,1837,4321,5775,1619,4156,383,218,165,1636,770,866
2018,WI,4907.0,4525,382,2740,2383,357,2167,2142,25,660,651,9,527,449,78,446,368,78,81,81,0,332,321,11
2018,WV,1243.0,1060,183,1021,842,179,222,218,4,73,72,1,154,84,70,150,84,66,4,0,4,131,106,25
2018,WY,639.0,440,199,434,299,135,205,141,64,77,56,21,46,42,4,42,42,0,4,0,4,47,47,0
2018,Total,552830.0,358363,194467,372417,194340,178077,180413,164023,16390,56342,51513,4829,96913,36575,60338,88640,30754,57886,8273,5821,2452,37878,23312,14566
2017,AK,1845.0,1551,294,1354,1060,294,491,491,0,165,165,0,257,158,99,216,117,99,41,41,0,124,95,29
2017,AL,3793.0,2656,1137,2985,1950,1035,808,706,102,262,229,33,363,171,192,344,152,192,19,19,0,269,202,67
2017,AR,2467.0,1273,1194,2068,937,1131,399,336,63,121,100,21,473,147,326,450,138,312,23,9,14,239,130,109
2017,AZ,8947.0,5781,3166,6488,3423,3065,2459,2358,101,689,664,25,1552,546,1006,1463,492,971,89,54,35,970,641,329
2017,CA,131532.0,42636,88896,110260,25022,85238,21272,17614,3658,7083,5836,1247,37033,5235,31798,35541,4430,31111,1492,805,687,11436,3815,7621
2017,CO,10940.0,7081,3859,7571,4719,2852,3369,2362,1007,993,702,291,2264,977,1287,2126,914,1212,138,63,75,1078,743,335
2017,CT,3388.0,2972,416,2208,1796,412,1180,1176,4,392,391,1,420,273,147,387,240,147,33,33,0,191,177,14
2017,DC,7473.0,6576,897,3583,2686,897,3890,3890,0,1166,1166,0,1881,1343,538,1470,932,538,411,411,0,285,250,35
2017,DE,994.0,936,58,615,563,52,379,373,6,129,127,2,127,102,25,123,98,25,4,4,0,91,85,6
