RegionID,RegionName,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08
53148,Manteca,CA,Stockton,San Joaquin,474,179000,180500,178700,176900,175700,174700,173000,171700,171100,170300,169400,168900,169100,169000,168500,168100,167200,165900,165000,164800,164800,164600,165100,165700,165800,166200,167200,168000,169000,171000,173700,175500,177000,179300,182200,184900,187000,189700,194200,200700,209000,218300,226600,235100,243300,250200,256900,262000,263800,264800,267600,271000,273900,277000,279900,281900,283800,285800,287500,288500,288900,290200,291900,293200,294900,298000,301300,304100,306300,308900,312100,314000,314900,316300,319600,323100,326500,329000,331900,334600
10723,Carson,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,479,322600,323600,323500,325400,326600,325900,324400,323200,322100,321500,321400,321900,322700,322900,321700,319300,316900,314900,313300,312200,311200,310200,309900,309700,308800,308400,309400,311200,313800,317100,320100,321900,323200,324300,326500,329400,332200,335600,340700,345800,350100,355000,361300,368000,373200,376800,379600,382600,386000,389900,393700,397900,402400,405500,407100,409700,413400,416100,417800,419800,422600,425300,427000,428000,429300,430700,432000,433100,434600,436600,438200,438700,439500,441100,443500,446000,448600,452100,456400,459700
32999,Mountain View,CA,San Jose,Santa Clara,482,730100,733200,734000,731800,726700,721200,715800,712800,712500,715300,717200,715300,708400,701300,698500,699900,704600,710500,716200,720400,724100,726500,724900,723500,729200,739400,747500,755500,769200,784000,799700,817300,833800,849900,868700,885100,895800,901300,909900,927300,948300,962000,970500,976700,983400,988600,999700,1013900,1025800,1035800,1047100,1055000,1059700,1067000,1076400,1088400,1104800,1120000,1133500,1154500,1178200,1203900,1235200,1266700,1294500,1321200,1340400,1354000,1368000,1380000,1382300,1380600,1385800,1401100,1416100,1423400,1422200,1423700,1426700,1428300
44116,Bellflower,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,484,329600,332300,332700,333700,334800,335800,336100,335600,334500,333400,332300,331200,330000,328800,327700,326300,324300,322500,321000,319500,317500,315300,312900,310900,309300,308100,307900,309000,311700,314700,317100,318700,320100,321800,324100,325800,326700,328800,332800,337400,342700,348700,354500,360500,365700,369000,371300,374500,378000,381400,384800,387700,390000,391700,393200,395300,398800,403300,407500,410200,412200,414900,417600,419800,421000,421400,422100,423700,425400,426700,427200,427200,428300,430800,434000,437200,440600,443600,446300,448300
34780,Westminster,CA,Los Angeles-Long Beach-Anaheim,Orange,486,431900,432600,431900,433400,435000,434000,430600,427200,425000,423100,420800,418400,416500,415600,415200,415000,413600,410900,407700,405200,403400,402100,401700,401500,401500,400500,398800,397700,399500,402700,406200,409600,413400,416500,419100,422400,426900,432800,440600,449600,459700,469400,476300,480900,485900,490800,495500,498600,501200,505700,513200,519200,522000,523600,526300,528400,530700,534000,537900,541200,543700,545500,547200,549400,551800,554100,556600,560300,562900,563900,564600,565600,566400,568400,570400,571300,571900,575400,581000,585700
24245,Covina,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,489,342300,345100,344300,345200,346100,346300,345700,345200,343500,341200,340000,339500,338800,338100,337200,335400,333100,331000,328700,326200,324300,322900,321300,319500,317700,316300,315900,316600,318100,320700,323200,325000,326200,327300,329800,333200,336000,339700,346000,352000,357300,363000,369100,375100,381700,388100,393400,397200,400500,404100,408100,411500,414300,417000,420400,423400,425800,427600,428800,429600,431200,433100,434600,436400,439200,441600,443100,444700,445900,446500,447700,448700,449700,451500,454300,457300,460300,462400,463900,464800
40355,Pittsburg,CA,San Francisco,Contra Costa,499,180600,182700,181200,181000,181800,183000,182700,181400,180700,179800,179500,179600,178300,176700,176000,174000,171500,170000,169000,168200,168100,167700,167000,164300,161600,161200,162400,163900,165800,167700,169000,170700,172700,175000,176600,177400,179300,183500,189500,196400,203200,209800,216800,224600,232100,239700,247800,256200,261600,264900,268800,273800,278100,282000,286000,289500,292300,295800,299900,302100,302800,304100,307500,311700,314800,315800,317500,320300,323200,325900,329500,332400,334800,336900,339200,341400,343900,345800,348600,351700
40524,Redlands,CA,Riverside,San Bernardino,502,273300,274300,274700,274200,271900,269800,267500,265000,264300,264800,265000,263800,262100,260700,258800,256700,255700,254100,250900,247500,244600,242800,242500,241800,240600,240300,240700,240100,240100,241100,242800,244600,246700,248800,251000,253500,255400,256400,259800,266800,273800,280700,288000,294700,300100,304200,307200,310100,313200,316200,320300,325000,330000,332700,334200,336200,338500,340700,343900,346800,348400,350200,351400,351700,352400,354400,356500,358400,360400,362700,365000,366100,366100,365800,365700,365500,365600,365600,366000,366700
54759,Turlock,CA,Modesto,Stanislaus,508,163700,162700,163700,165300,167000,167700,167900,167800,167700,167100,166000,165000,164000,162700,160900,159100,157700,156100,153700,151200,149400,148100,147700,148000,148200,148200,149400,151000,151600,151900,153300,156000,158600,160600,162100,163600,165200,166700,168100,170200,173600,177700,181800,185800,190100,194500,199100,204500,209400,213700,218200,222900,227400,232100,234600,234700,234800,236700,238900,240600,242200,243900,245500,247100,248200,248400,248700,250200,252300,254400,256300,257800,258900,260300,261800,262900,263900,265900,268700,270900
40414,Porterville,CA,Visalia,Tulare,513,140500,138800,138900,139000,138900,137600,135500,133200,130300,127200,124300,122100,120700,119300,117600,116100,114900,113500,112200,111300,110700,110000,109600,109400,109200,109000,108900,108900,108900,109100,109800,110800,112000,113600,115200,116000,116300,116700,117300,117800,119000,120500,122200,123600,125000,126500,127900,129700,131900,134100,135700,136500,136900,138000,139200,140100,141200,142500,143400,144100,145000,145800,146500,147600,149100,150700,151700,152500,153600,154900,155700,156600,157300,157300,157400,157900,158700,160000,161400,162500
11462,Folsom,CA,Sacramento,Sacramento,514,367000,368100,368600,367300,365200,363700,362200,358300,354000,350900,347900,345000,341900,337800,333900,331800,330000,326500,323500,322600,322700,323200,323500,323600,324000,325400,325900,326400,327700,329400,331300,335100,341500,349100,356300,363100,369300,375200,382100,389700,395700,402500,411300,418500,421100,421200,421900,422200,421500,421000,421200,421900,424800,427900,429000,428500,428500,429400,432100,434100,435300,437700,440800,441300,442200,444800,447200,449100,452400,455900,458400,461100,464600,467800,470300,472700,474900,476200,477900,479800
7484,Tulare,CA,Visalia,Tulare,517,128900,126200,124700,123600,123700,123700,122600,121200,120000,118600,116800,115800,115800,115600,115300,114700,113400,112200,111700,111200,110500,110100,109700,109300,109200,109100,109100,109600,110100,110600,111000,111600,112800,114500,116300,117900,118900,120000,121300,122100,122900,124200,125700,127000,128600,130700,132800,134500,136200,138300,140300,142300,143500,144600,145800,147100,147800,148100,148600,149700,150700,152000,153600,155700,157900,159900,160900,161400,162000,162500,162800,164000,165700,166700,166700,167200,168900,170900,172800,174300
10241,Baldwin Park,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,518,258600,263100,264300,265500,266000,265600,265100,265300,264800,264400,264300,264600,264700,264800,264300,262700,260100,258400,257200,255500,253700,252100,250900,249500,247800,246800,247100,249100,252500,256600,260300,263500,265700,267500,269900,272200,274300,277500,282800,287900,293700,300600,306400,310300,314700,320200,324900,328200,330900,333900,337400,340700,342400,343100,344800,348200,352600,356000,357500,358200,359600,360900,361900,363200,364200,365000,366600,369500,371500,371500,371400,372400,374300,376800,380400,384700,388800,390600,391400,392300
32380,Lake Forest,CA,Los Angeles-Long Beach-Anaheim,Orange,520,480900,482100,481500,481500,482300,482400,480800,477400,473300,469100,466100,463600,460800,459200,457300,454500,452200,449800,444900,440000,437000,436000,435700,434600,434100,434500,434900,435000,435800,437300,442100,449100,454600,458900,465300,475000,485700,496700,509300,523300,536500,547500,555300,561900,569100,575900,581200,584400,585500,587500,591700,595400,597300,600300,604600,608400,610600,612000,614600,618100,621300,624500,627800,629600,632200,636200,639600,641600,643500,646400,649000,649500,648900,647900,646700,646300,646800,647900,651100,654900
